Alabama Cycling Classic Presents Fort McClellan RR in Anniston  AL Results

04/03/2016 Road Race Men Pro/Cat 1 Prt 1
Place,License #,First,Last,City,State,Time,Team
1,221975,Oscar,CLARK,Athens,GA,3:38:57,Holowesko | Citadel Racing Team pb Hincapie Racing*
2,355124,Andrei,KRASILNIKAU,Boulder,CO,3:39:35,Holowesko | Citadel Racing Team pb Hincapie Racing*
3,402258,Andzs,FLAKSIS,Austin,TX,3:40:31,Holowesko | Citadel Racing Team pb Hincapie Racing*
4,318688,Thomas,REVARD,Carmel,IN,3:40:55,BISSELL-ABG-GIANT*
5,268330,Travis,MCCABE,Tucson,AZ,3:40:59,Holowesko | Citadel Racing Team pb Hincapie Racing*
6,282640,Brendan,RHIM,Greenville,SC,3:41:07,Holowesko | Citadel Racing Team pb Hincapie Racing*
7,234733,Brendan,MCCORMACK,Leicester,MA,3:41:08,CCB Racing*
8,344034,Brett,WACHTENDORF,Winooski,VT,3:41:13,Amore & Vita - USA Racing*
9,350750,Cory,SMALL,Boxborough,MA,3:41:19,CCB Racing*
10,355774,Conor,SCHUNK,Charlotte,NC,3:41:19,Masters Cycling Systems LLC.
11,161583,Travis,LIVERMON,Winston Salem,NC,3:41:21,Astellas Cycling Team
12,292813,Marcos,LAZZAROTTO,Oxnard,CA,3:41:21,Lupus Racing Team
13,133375,Michael,OLHEISER,Huntsville,AL,3:41:21,Lupus Racing Team
14,298437,Nolan,TANKERSLEY,Erwin ,TN,3:41:25,Lupus Racing Team
15,377954,Willem,KAISER,Atlanta,GA,3:41:31,Team United Healthcare Georgia706P
16,356904,Anton,VARABEI,,,3:41:38,RealDealD'Ornellas pb Garneau
17,263324,Parker,KYZER,Spartanburg,SC,3:41:38,Finish Strong Elite Cycling Team pb Palmetto State Medical
18,178109,Andrew,SCARANO,Athens,GA,3:41:41,Team United Healthcare Georgia706P
19,217193,Jake,SITLER,Marietta,PA,3:41:41,Astellas Cycling Team
20,287780,Taylor,WARREN,San Diego,CA,3:41:49,COGA Elite Cycling Team
21,270997,Robert,SROKA,North Royalton,OH,3:41:51,First Internet Bank Cycling Team
22,402875,Matt,SALPIETRO,Indianapolis,IN,3:41:55,Texas Roadhouse Cycling pb Stradalli Bicycles
23,669,Matt,BOLE,Loveland,OH,3:42:14,Team Dayton Bicycling
24,346994,Thomas,GIBBONS,Linwood,NJ,3:42:18,Team United Healthcare Georgia706P
25,299155,Ryan,O'BOYLE,Shorewood,IL,3:42:22,xXx Racing
26,395255,Tanner,WARD,Little Rock,AR,3:42:26,
27,137395,Timothy,MITCHELL,Ashland,MA,3:42:35,CCB Racing*
28,297555,Christopher,MEACHAM,Mooresville,NC,3:42:39,Pushworks Racing pb Van Dessel
29,240005,Kyle,PERRY,Muncie,IN,3:42:43,Kentucky Flyers Cycling Inc
30,377303,Chris,STRUMOLO,Cranford,NJ,3:42:45,Blue Ribbon-Pennell Venture Partners
31,161263,Ryan,KNAPP,Bloomington,IN,3:42:53,First Internet Bank Cycling Team
32,243416,Mac,BRENNAN,Greenville,SC,3:42:57,Holowesko | Citadel Racing Team pb Hincapie Racing*
33,307228,Oliver,FLAUTT,Norcross,CO,3:46:06,Lupus Racing Team
34,285756,Ian,KEOUGH,Sandwich,MA,3:46:15,Astellas Cycling Team
35,501222,Ed,VEAL,,,3:46:52,RealDealD'Ornellas pb Garneau
36,213476,Andrew,HAMMOND,Jackson,MS,3:46:57,Palmer Cycling
37,289623,Martin,VECCHIO,Detroit,MI,3:51:13,0
38,333296,Jake,BUESCHER,Evanston,IL,3:51:16,xXx Racing
39,292160,Ross,BALDWIN,New York,NY,3:51:35,Century Road Club Assoc
40,271440,Edward,NOVAK,New Orleans,LA,3:51:58,Palmer Cycling
41,276289,David,NEIS,Yellow Springs,OH,3:52:05,Team Dayton Bicycling
42,341776,Patrick,WALLE,Nashville,TN,3:55:05,I AM Racing pb Escadrille
43,368618,Jacob,HENNINGSEN,Cincinnati,OH,3:56:46,Team Hungry
44,226733,Jonathan,JACOB,Indianapolis,IN,3:57:56,BISSELL-ABG-GIANT*
45,296605,Michael,HERNANDEZ,Clermont,FL,3:57:56,CCB Racing
46,193035,Brandon,FEEHERY,Knoxville,TN,3:57:56,Astellas Cycling Team
47,334752,Matt,MOOSA,Charlotte,NC,3:57:56,Finish Strong Elite Cycling Team pb Palmetto State Medical
48,467841,Ryan,AITCHESON,,,3:57:56,Astellas Cycling Team
49,335050,Ben,SCHMUTTE,Noblesville,IN,3:57:56,First Internet Bank Cycling Team
50,231748,Spencer,OSWALD,Dubuque,IA,3:57:56,Amore & Vita - USA Racing
51,258966,Aaron,BEEBE,Indianapolis,IN,3:57:59,BISSELL-ABG-GIANT*
52,286608,Eamon,FRANCK,Pacific Grove,CA,3:57:59,Astellas Cycling Team
53,258441,Michael,STONE,Monroe,GA,3:57:59,Lupus Racing Team
54,277433,Zachary,CARLSON,Indianapolis,IN,3:57:59,Texas Roadhouse Cycling pb Stradalli Bicycles
55,179451,Gavriel,EPSTEIN,Englewood,NJ,3:57:59,Lupus Racing Team
56,339836,Gorgi,POPSTEFANOV,Washington,DC,3:57:59,Amore & Vita - USA Racing
57,274367,Allan,REGO,New York,NY,3:57:59,Lupus Racing Team
58,194743,Winston,DAVID,Greenville,SC,3:57:59,Lupus Racing Team
59,312558,Jake,SILVERBERG,Pembroke Pines,FL,3:57:59,Astellas Cycling Team
60,283705,Cooper,WILLSEY,Hinesburg,VT,3:57:59,CCB Racing*
61,283391,Michael,KELLER,Orland Hills,IL,3:57:59,BISSELL-ABG-GIANT*
62,401755,Brice,BROOKSHIRE,Elkhart,IN,3:57:59,Texas Roadhouse Cycling pb Stradalli Bicycles
63,346092,John,BECKER,Fortville,IN,3:57:59,First Internet Bank Cycling Team
64,256120,John,WOODS,Indianapolis,IN,3:57:59,First Internet Bank Cycling Team
65,298338,Jack,MCCANN,Cincinnati,OH,3:57:59,First Internet Bank Cycling Team
66,395206,Ian,UMSTEAD,Murray,KY,3:57:59,Village VW pb Erlanger Sports Medicine
67,160295,Frank,TRAVIESO,Athens,GA,3:57:59,Team United Healthcare Georgia706P
68,238311,Christopher,UBERTI,Cincinnati,OH,3:57:59,Finish Strong Elite Cycling Team pb Palmetto State Medical
69,403666,Brad,BRADFORD,,,3:57:59,RealDealD'Ornellas pb Garneau
70,253424,Brendan,SULLIVAN,Atlanta,GA,3:58:13,Lupus Racing Team
71,337684,Adam,MORRIS,Belden,MS,3:58:13,Palmer Cycling
72,275771,John,BRIZZARD,Pensacola,FL,3:58:13,Palmer Cycling
73,207002,Alex,COX,Portland,ME,3:58:13,CCB Racing*
74,239504,Daniel,LAM,Kalamazoo,MI,3:58:13,BISSELL-ABG-GIANT*
75,336238,Zack,KRATCHE,Charleston,SC,3:58:15,Amore & Vita - USA Racing
