Deer Trail Road Race - Colorado Senior State Championship in Deer Trail CO Results

06/05/2016 Road Race Men SM P-1-2
Place,License #,First,Last,City,State,Time,Team
1,287780,Taylor,Warren,San Diego,CA,3:30:33,
2,282337,Brian R,Firle,Boulder,CO,3:30:33,
3,309494,Luis R,Rodriguez,Denver,CO,3:30:33,
4,246693,Kevin,Tempel,Fort Collins,CO,3:30:33,
5,282064,Isaiah,Newkirk,Boulder,CO,3:30:36,
6,59157,Jon C,Tarkington,Boulder,CO,3:30:36,
7,199914,Matthew J,Eberly,Aurora,CO,3:30:41,
8,120346,Chris J,Brennan,Silver City,NM,3:30:43,
9,396770,Robert W,Thayer,Denver,CO,3:37:16,
10,399388,George,Simpson,Fort Collins,CO,3:37:31,
11,288007,Drew L,Christopher,Denver,CO,3:37:31,
12,424969,Jacob O,Hatcher,Fort Collins,CO,3:37:37,
13,206552,Tomas,Roba,Broomfield,CO,3:38:02,
14,248373,Adam,Zimmerman,Highlands Ranch,CO,3:39:30,
15,202401,Brett A,Rindt,Fort Collins,CO,3:39:30,
16,372580,Brad M,Neagos,Grand Rapids,MI,3:39:30,
17,290172,Spencer,Martin,Boulder,CO,3:39:30,
18,179136,Giancarlo,Bianchi,Boulder,CO,3:39:30,
19,359925,Max A,Rusch,Golden,CO,3:39:30,
20,109368,Marc E,DeAntoni,Lafayette,CO,3:39:30,
21,230716,John,Noonan,Evergreen,CO,3:39:30,
22,374170,Nate,Taggatz,Fort Collins,CO,3:39:30,
23,365258,Brannan M,Fix,Fort Collins,CO,3:39:34,
24,257655,Rory,Kelly,Boulder,CO,3:39:40,
25,224182,Adam T,Fivehouse,Denver,CO,3:43:27,
26,294220,Andrew M,Clemence,Tucson,AZ,3:43:27,
27,425382,Austin,Stephens,Huntington Beach,CA,3:43:27,
28,305250,Nicolas,Jimenez,Golden,CO,3:43:27,
29,303319,Maxx A,Chance,Boulder,CO,3:44:42,
30,33536,Mark,Southard,Boulder,CO,3:44:49,
31,385701,Gregory M,Seymour,Denver,CO,3:46:54,
32,193527,Thomas K,Herman,Lakewood,CO,3:47:32,
33,306442,Blake,Romine,Boulder,CO,3:48:27,
34,244277,Neal,Shepherd,Boulder,CO,4:02:36,
35,159143,Anuthee,Huffstetter,Boulder,CO,4:17:27,
DNF,252449,David T,Leonard,Berthoud,CO,DNF,
DNF,229072,Sam P,Chovan,Steamboat Springs,CO,DNF,
DNF,241461,Taylor,Jung,Littleton,CO,DNF,
DNF,363233,Matthew,Rowe,Boulder,CO,DNF,
DNF,363338,Zack,Jensen,Fort Collins,CO,DNF,
DNF,267392,Paul,Kumm,Fort Collins,CO,DNF,
DNF,407748,Max,Huddleston,Colorado Springs,CO,DNF,
DNF,216288,Geoffrey,Mina,Boulder,CO,DNF,
DNF,233364,Lucas,Wardein,Durango,CO,DNF,
DNF,225407,William,Zellmer,Missoula,MT,DNF,

06/05/2016 Road Race Men SM 5
Place,License #,First,Last,City,State,Time,Team
1,487282,Nicholas,Kulesa,Colorado Springs,CO,1:59:43,
2,283043,Scott,Hornick,Littleton,CO,1:59:53,
3,500176,Alistair,Jordan,Fort Collins,CO,2:00:09,
4,363585,David,Hornick,Englewood,CO,2:00:21,
5,440968,Shawn M,Bard,Breckenridge,CO,2:00:29,
6,472345,Kyle,Cunningham,Boulder,CO,2:09:51,
7,399521,Joseph,Giannotto,Denver ,CO,2:10:57,
8,469127,Eric,Bartels,Aurora,CO,2:11:52,

06/05/2016 Road Race Men SM 4
Place,License #,First,Last,City,State,Time,Team
1,440908,Michael,Murphy,Denver,CO,2:36:51,
2,385330,Adam,Marshall,Fort Collins,CO,2:37:34,
