Cedar Hill Race Festival in Cedar Hill TX Results

02/07/2016 Road Race Men Pro/Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,338924,Nicholas,Torraca,Grapevine,TX,,Elevate Elite Cycling Team
2,487064,Joshua,Buchel,Wichita Falls,TX,,Dark Horse Racing
3,368638,Kyle,Walker,Lubbock ,TX,,Cadence Cyclery
4,331782,Gabriel,Baca,Austin,TX,,Elbowz Racing
5,284344,Jake,Boone,San Marcos,TX,,Plano Athletic Cycling Club/PACC
6,0,Hector Emiliano,Morales Garza,,,,Bicycle Heaven
7,412811,Kyle,Swanson,Fort Worth,TX,,Corinth Cycling/Harden Racing
8,310349,Shawn,Small,Longview,TX,,GS Tenzing
9,325930,jefferey,may,Greenville,TX,,
10,380276,Grayson,Keppler,Dallas,TX,,Cadence Cyclery
11,178970,Mat,Stephens,Dallas,TX,,
12,377614,Davis,Dombrowski,Mesquite,TX,,Matrix Cycling Club
13,386614,Justin,Stanley,Austin,TX,,Elbowz Racing
14,252928,Rob,Bell,Oklahoma City,OK,,Team Undiscovered
15,0,Cesar Omar,Cerna,,,,Rudy's Ritas
16,279653,Beau,Edwards,West Lake Hills ,TX,,
17,276550,Elkin,Arteaga,Anchorage,AK,,
18,387450,Evan,Bausbacher,Richardson,TX,,Matrix Cycling Club
19,225120,Erin,Elliott,Oklahoma City,OK,,Soundpony Triad Bank
20,240838,John,Ryan,North Richland Hills,TX,,Matrix Cycling Club
21,413223,Joaquin,Najar,Austin,TX,,Super Squadra
22,63195,Christopher,Powers,Flower Mound,TX,,Cadence Cyclery
23,291129,Rob,Sandusky,Frisco,TX,,Matrix Cycling Club
24,395791,Jacob,Schofield,San Antonio,TX,,Bicycle Heaven / PVA
25,342580,Isaac,Porterfield,Bertram,TX,,VooDoo Racing
26,321730,John,McKelvy,Dallas,TX,,Dawdy Performance Coaching-Racing Team
27,157827,Corey,Ray,Mckinney,TX,,Cadence Cyclery
28,239925,Ryan,Dupree,Tulsa,OK,,Soundpony Triad Bank
29,420701,Vitor,Zucco Schizzi,Irving,TX,,
30,331128,Brian,ODonnell,Houston,TX,,Bayou City Racing
31,388008,Hugo,Scala Jr,Dallas,TX,,Matrix Cycling Club
32,295212,Jordan,Oroshiba,Austin,TX,,Super Squadra
33,0,Alexandro,Garcia,,,,Rudy's Ritas
34,69378,Warney,Crosby,Dallas,TX,,Chicken and Waffles Racing
35,354880,Tyler,Stewart,Austin,TX,,Cadence Cyclery
36,188306,Scott,Veggeberg,Austin,TX,,Chicken and Waffles Racing
37,393684,William,Martin,Nacogdoches,TX,,Cadence Cyclery
38,224500,Mario,Arroyave,Waxahachie,TX,,Elevate Elite Cycling Team
39,299251,Justin,McQuerry,Athens,GA,,Team Novo Nordisk
40,360046,Mark,Baerd,Fort Worth,TX,,Elevate Elite Cycling Team
41,326388,Tony,Steward,Edmond,OK,,Oklahoma City Velo Club
42,360809,Tyler,Cloutier,Dallas,TX,,Matrix Cycling Club
43,445093,Eduardo,Guzman,Miami,FL,,Rudy's Ritas
44,379268,Christopher,Dauwe,Dallas,TX,,Cadence Cyclery
45,272798,Sean,Brown,Burkburnett,TX,,Dark Horse Racing
46,432787,David,Tolley,Austin,TX,,Super Squadra
47,6135,Chris,Carlson,Plano,TX,,Matrix Cycling Club
48,219898,Bryan,Roberts,Keller,TX,,Team Bicycles Inc.

02/07/2016 Road Race Men Cat 1/2/3/4/5 Master 60-99
Place,License #,First,Last,City,State,Time,Team
1,212309,Pete,Lantz,Tulsa,OK,,Tulsa Wheelmen
2,45770,David,Parks,Dallas,TX,,Mirage
3,57843,Patrick,Galvin,Dallas,TX,,Mirage

02/07/2016 Road Race Men Cat 4/5
Place,License #,First,Last,City,State,Time,Team
1,466934,Chaz,Black,Dallas,TX,,Team Cambridge Cycling
2,438913,Kyle,Higley,Flower Mound,TX,,
3,341138,Troy,Anderson,Dallas,TX,,Plano Athletic Cycling Club/PACC
4,222586,Greg,Lawford,Flower Mound,TX,,GS Tenzing
5,466881,Jay,Judeh,San Marcos,TX,,Renegade Racing
6,496407,Austin,Hoover,Sherman,TX,,Cadence Cyclery
7,460588,Shane,Sirignano,Denton,TX,,
8,425923,Dennis,Krilic,Frisco,TX,,Crest/RBM Cycling
9,474071,Max,Tucker,Little Rock,AR,,
10,425596,Joe,Nuszkowski,Argyle,TX,,GS Tenzing
11,382527,John,Eddington,Flower Mound,TX,,Plano Athletic Cycling Club/PACC
12,423503,Thomas,Whitaker,Plano,TX,,Jesuit Dallas
13,467748,Joey,Danahy,Waco,TX,,Baylor University
14,370563,Dustin,Smith,Oklahoma City,OK,,Team Undiscovered
15,494462,Joshua,Carder,Carrollton,TX,,Dallas Racing
16,459322,Gary,Derheim,Frisco,TX,,Crest/RBM Cycling
17,395169,Charles,Werderman,Richmond,VA,,Blue Ridge Cyclery Racing p/d R
18,484562,Andy,Jobin,Austin,TX,,TILT Racing
19,225641,Brandon,O'Neal,Spring,TX,,Northwest Cycling Club
20,284038,David,Roberts,Houston,TX,,Northwest Cycling Club
21,421214,Rand,Jenkins,Mansfield,TX,,B&B Trek Racing
22,201589,Joel,Shewry,Arlington,TX,,Team Bicycles Inc.
23,494954,Todd,Finley,Frisco,TX,,Crest/RBM Cycling
24,396267,Keith,English,Oklahoma City,OK,,Bike One Racing Team
25,487813,Travis,Keane,Fort Worth,TX,,Bicycles Plus Racing
26,415240,Nicolas,Hima,San Antonio,TX,,Bike World Racing
27,361040,David,Ness,Lewisville,TX,,Bicycles Plus Racing
28,404202,Greg,Gibbs,Carrollton,TX,,Team Cambridge Cycling
29,400785,Jeff,Makohon,Rockwall,TX,,Rockwall Racing
30,375072,Aston,Haswell,Fort Worth,TX,,Corinth Cycling/Harden Racing
31,459616,Paul,Waller,Arlington,TX,,Crest/RBM Cycling
32,345436,Travis,Gulbis,The Colony,TX,,Crest/RBM Cycling
33,494964,Benjamin,Young,Flower Mound,TX,,Cadence Cyclery
34,414558,Alexander,Jensen,Tulsa,OK,,Tulsa Wheelmen
35,460136,Matthew,Courtney,Oklahoma City,OK,,Team Undiscovered
36,307698,James,Snodgrass,Noble,OK,,Bike One Racing Team
37,494576,Jake,Nelson,Frisco,TX,,Crest/RBM Cycling
38,412254,Christopher,Dedera,Keller,TX,,MBBC Racing
39,496960,Casey,Gourley,Arlington,TX,,B&B Trek Racing
