Tour de Louisiane XLVI in Covington LA Results

06/11/2017 Criterium Men P/1/2/3
Place,License #,First,Last,City,State,Time,Team
1,230433,Mathew,Davis,Shreveport,LA,0:58:11,Team LaS'port
2,432532,Bryan,Mutell,Raleigh ,NC,0:58:11,4D Racing
3,378825,Lance,Abshire,Baton Rouge,LA,0:59:53,Team LaS'port
4,404765,Patton,Sims,Sterlington,LA,1:00:00,Palmer/CSpire Fiber Cycling
5,227815,Joseph,Long,Kenner,LA,1:00:00,Team LaS'port
6,239878,Ben,Hall,River Ridge,LA,1:00:00,4D Racing
7,492579,Charles,Daniel,Saint Francisville,LA,1:00:00,4D Racing
8,413655,Leopold,Marx,Baton Rouge,LA,1:00:00,4D Racing
9,473175,Logan,Mclain,Bossier City,LA,1:00:00,Team LaS'port
10,424121,Jack,White,Madison,MS,1:00:00,Palmer/CSpire Fiber Cycling
11,442815,Whit,Somerall,Shreveport,LA,1:00:16,Team LaS'port
12,355844,Jaden,Kifer,New Orleans,LA,1:00:16,Team LaS'port
13,278514,Michael,McBrien,Milton,FL,1:00:28,Palmer Cycling
13,374783,Taylor,Hanegan,Haughton,LA,1:00:28,Team LaS'port
15,476920,Mark,LeBlanc,Lafayette,LA,1:02:01,4D Racing
15,281156,Dustin,Drewes,Ponchatoula,LA,1:02:01,4D Racing
15,433325,Eric,Nelson,Mobile,AL,1:02:01,Indian Cycle Racing
15,355122,Carlos,Perea,Baton Rouge,LA,1:02:01,Palmer/CSpire Fiber Cycling
15,171264,Kyle,Boudreaux,Covington,LA,1:02:01,
20,171261,Joshua,Rosby,Baton Rouge,LA,1:09:46,4D Racing
DNF,354792,Nicholas,Burton,Shreveport,LA,,Team LaS'port
DNF,466498,Thomas,Brown,Little Rock,AR,,Experience Fayetteville Cycling Team

06/11/2017 Criterium Men Cat 1/2/3/4/5 Masters 40+
Place,License #,First,Last,City,State,Time,Team
1,193992,Woody,Boudreaux,Westwego,LA,0:47:48,CSpire Fiber Cycling
2,308797,Alex,Habbit,Youngsville,LA,0:47:48,Acadiana Bicycle Company Racing
3,41597,Frank,Moak,Brookhaven,MS,0:47:48,CSpire Fiber Cycling
4,77897,Kevin,Landry,Youngsville,LA,0:47:48,Acadiana Bicycle Company Racing
5,238642,William,Jones,Baton Rouge,LA,0:47:48,4D Racing
6,309874,Kenneth,Poole,Hattiesburg ,MS,0:47:48,CSpire Fiber Cycling
7,167772,Eddie,Corcoran,New Orleans,LA,0:47:48,Peake Cycling
8,258236,Trey,Pounds,Brookhaven,MS,0:47:48,CSpire Fiber Cycling
9,475181,Steven,Wolfe,Winnfield,LA,0:47:48,Acadiana Bicycle Company Racing
10,166615,Jim,Booth,New Orleans,LA,0:47:48,Urban South Racing p/b Rouler
11,32781,Butch,Sims,Hattiesburg,MS,0:47:48,CSpire Fiber Cycling
12,477948,Troy,Alexander,Youngsville,LA,0:47:48,Acadiana Bicycle Company Racing
13,0,Antonio,del Valle,,,0:47:48,
14,347118,Bronson,Breaux,Saint Martinville ,LA,0:48:20,Acadiana Bicycle Company Racing
15,55950,Peter,Stephens,Gulfport,MS,0:50:08,GEAUX Race
16,215913,VJ,Liberto,Metairie,LA,0:50:29,Peake Cycling
17,185198,Mike,Corcoran,Westwego,LA,0:50:29,Peake Cycling
18,113,Weston,McWhorter,New Orleans,LA,0:51:45,Urban South Racing p/b Rouler
19,11747,Brett,Fitzgerald,Ponchatoula,LA,0:51:45,MidSouth Velo
20,46889,H Michael,Lew,Loranger,LA,0:52:17,MidSouth Velo
21,303925,Eugene,Parker,Mobile,AL,0:54:16,Urban South Racing p/b Rouler
22,514844,Greig,Prejean,Carencro,LA,0:54:16,Acadiana Bicycle Company Racing
23,423371,Aaron,Viles,New Orleans,LA,0:57:41,Urban South Racing p/b Rouler
DNF,349254,Adrian,Haynes,New Orleans,LA,,New Orleans Bicycle Club Inc
DNF,343568,Scott,Gumina,Slidell,LA,,Peake Cycling

06/11/2017 Criterium Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,534909,Stephen,Schroeder,Pensacola,FL,0:39:13,
2,494823,Ian,Lintner,Pensacola,FL,0:40:36,Ride More Bicycles
3,508066,Mark,Simmons,Baton Rouge,LA,0:40:36,
4,534317,Stephen,Ancelet,Breaux Bridge,LA,0:40:36,
5,0,Matt,Epsey,,,0:40:36,
6,179077,Jeffrey,Gallagher,Covinton,LA,0:40:36,
7,525469,Ross,Aguilar,Baton Rouge,LA,0:40:36,4D Racing
8,405441,Trace,Swartzfager,Ridgeland,MS,0:40:36,CSpire Fiber Cycling
9,513335,Jared,Shore,Madison,MS,0:40:36,CSpire Fiber Cycling
10,222707,Tom,Wooten,Cambridge,MA,0:40:36,
11,485415,Beau,Melancon,Luling,LA,0:40:56,Palmer/CSpire Fiber Cycling
12,530569,Brent,Neel,Livingston,LA,0:40:56,
13,523147,Chris,Ryan,South Bend,IN,0:42:57,
14,527933,Perryl,Petit,Harahan,LA,0:42:47,
15,492950,Nathaniel,Wood,Marrero,LA,0:43:34,Urban South Racing p/b Rouler
16,526478,Nigel,Long,New Orleans,LA,0:44:07,Semi-Tough Cycling Club
17,0,Jason,Tassin,,,0:44:07,
18,507774,Sean,Wilson,Baton Rouge,LA,0:44:07,4D Racing
19,528189,Roy,Ulrich,Marrero,LA,0:44:49,
20,534435,Wesley,Vogt,Covington,LA,0:45:45,

06/11/2017 Criterium Men Cat 4
Place,License #,First,Last,City,State,Time,Team
1,492741,CHRIS,BROWN,New Orleans,LA,0:50:28,New Orleans Bicycle Club Inc
2,480019,Daniel,Amirebrahimi,Shreveport,LA,0:51:25,Team LaS'port
3,417115,Casey,Black,New Orleans,LA,0:51:25,CSpire Fiber Cycling
4,191139,Branden,Morvant,Metairie,LA,0:51:25,New Orleans Bicycle Club Inc
5,517293,Maxwell,Eaton,New Orleans,LA,0:51:25,Urban South Racing p/b Rouler
6,475432,Jonathan,Toups,Shreveport,LA,0:51:25,Team LaS'port
7,507715,Nader,Rezvani,Lafayette,LA,0:51:25,4D Racing
8,477966,William,Buquoi,Belle Chasse,LA,0:51:25,Urban South Racing p/b Rouler
9,497586,Taylor,Reinhard,New Orleans,LA,0:51:25,Urban South Racing p/b Rouler
10,431747,Chris,Lincoln,Jackson,MS,0:51:25,CSpire Fiber Cycling
11,502030,Bryce,LeBlanc II,Metairie,LA,0:51:25,Palmer/CSpire Fiber Cycling
12,468645,Travis,Berger,Slidell,LA,0:52:10,New Orleans Bicycle Club Inc
13,468284,Adam,Layburn,New Orleans,LA,0:52:10,New Orleans Bicycle Club Inc
14,374950,Jason,Cash,New Orleans,LA,0:53:28,Semi-Tough Racing
15,375473,Christian,Fontaine,Metairie,LA,0:53:26,New Orleans Bicycle Club Inc
16,495734,Michael,MacGown,Madison,MS,0:53:26,CSpire Fiber Cycling
17,334786,Derek,Brouwer,Erie,CO,0:53:37,Swift Cycling
18,473862,Michael,Sledge,Brandon,MS,0:55:03,CSpire Fiber Cycling
19,421183,Robert,Lee,Clinton,MS,0:56:47,
DNF,287422,john,bullock,Shreveport,LA,,Team LaS'port

06/11/2017 Criterium Women Cat 1/2/3/4/5
Place,License #,First,Last,City,State,Time,Team
1,477271,Jill,Simmons,Baton Rouge,LA,0:29:29,
2,432427,Heather,Nelson,Mobile,AL,0:29:49,Nunchuck Bunnies
3,497632,Emily,Gass,New Orleans,LA,0:29:51,Urban South Racing p/b Rouler
4,510458,Macy,Williams,Pensacola,FL,0:29:51,Ride More Bicycles
5,423766,Jessica,Jones,Baton Rouge,LA,0:29:51,4D Racing
6,431035,Tiffany,Landry,Hattiesburg,MS,0:29:51,Nunchuck Bunnies
7,515292,Rachel,Smith,New Orleans,LA,0:29:51,Crush Racing
8,395023,Charlotte,Fournier,New Orleans,LA,0:31:48,Raising Cane's Racing
9,492425,Emily,Bissett,New Orleans,LA,0:33:05,Crush Racing
10,468532,alison,carey,Mandeville,LA,0:33:05,Nunchuck Bunnies
11,488000,Ashley,Doucet Congemi,New Orleans,LA,0:34:40,Crush Racing

06/11/2017 Criterium Mixed Cat 1/2/3/4/5 Juniors 9-18
Place,License #,First,Last,City,State,Time,Team
1,485718,Joseph,Middleton,Gretna,LA,0:27:42,Palmer/CSpire Fiber Cycling
2,535288,Bryce,Roche,New Orleans,LA,0:30:14,
3,530203,Layne,Presley,Clinton,MS,0:34:36,

06/11/2017 Stage Race Men P/1/2/3
Place,License #,First,Last,City,State,Time,Team
1,230433,Mathew,Davis,Shreveport,LA,4:17:40.0,Team LaS'port
2,432532,Bryan,Mutell,Raleigh ,NC,4:18:31.0,4D Racing
3,473175,Logan,Mclain,Bossier City,LA,4:20:42.9,Team LaS'port
4,239878,Ben,Hall,River Ridge,LA,4:22:32.4,4D Racing
5,378825,Lance,Abshire,Baton Rouge,LA,4:23:27.1,Team LaS'port
6,227815,Joseph,Long,Kenner,LA,4:24:14.6,Team LaS'port
7,278514,Michael,McBrien,Milton,FL,4:26:28.1,Palmer Cycling
8,404765,Patton,Sims,Sterlington,LA,4:27:01.1,Palmer/CSpire Fiber Cycling
9,476920,Mark,LeBlanc,Lafayette,LA,4:28:49.3,4D Racing
10,281156,Dustin,Drewes,Ponchatoula,LA,4:29:01.1,4D Racing
11,492579,Charles,Daniel,Saint Francisville,LA,4:30:58.8,4D Racing
12,424121,Jack,White,Madison,MS,4:31:06.0,Palmer/CSpire Fiber Cycling
13,413655,Leopold,Marx,Baton Rouge,LA,4:31:25.9,4D Racing
14,433325,Eric,Nelson,Mobile,AL,4:32:52.7,Indian Cycle Racing
15,355122,Carlos,Perea,Baton Rouge,LA,4:33:13.2,Palmer/CSpire Fiber Cycling
16,374783,Taylor,Hanegan,Haughton,LA,4:33:14.6,Team LaS'port
17,442815,Whit,Somerall,Shreveport,LA,4:33:30.3,Team LaS'port
18,355844,Jaden,Kifer,New Orleans,LA,4:42:09.3,Team LaS'port
19,171264,Kyle,Boudreaux,Covington,LA,5:11:32.6,
20,171261,Joshua,Rosby,Baton Rouge,LA,5:20:31.0,4D Racing
DNF,388343,Stephanie,Smith,Metairie,LA,,
DNF,301474,Sam,LeBlanc,Kenner,LA,,4D Racing
DNF,357289,Steve,Bertrand,Eglin Air Force Base,FL,,US Military Endurance Sports
DNF,396973,Micheal,Boedigheimer,New Orleans,LA,,Urban South Racing p/b Rouler
DNF,354792,Nicholas,Burton,Shreveport,LA,,Team LaS'port
DNF,466498,Thomas,Brown,Little Rock,AR,,Experience Fayetteville Cycling Team

06/11/2017 Stage Race Men Cat 1/2/3/4/5 Masters 40+
Place,License #,First,Last,City,State,Time,Team
1,41597,Frank,Moak,Brookhaven,MS,3:57:44.2,CSpire Fiber Cycling
2,309874,Kenneth,Poole,Hattiesburg ,MS,3:57:52.1,CSpire Fiber Cycling
3,193992,Woody,Boudreaux,Westwego,LA,3:58:05.4,CSpire Fiber Cycling
4,308797,Alex,Habbit,Youngsville,LA,3:58:09.7,Acadiana Bicycle Company Racing
5,238642,William,Jones,Baton Rouge,LA,3:58:13.9,4D Racing
6,258236,Trey,Pounds,Brookhaven,MS,3:58:19.2,CSpire Fiber Cycling
7,0,Antonio,del Valle,,,3:58:31.0,
8,32781,Butch,Sims,Hattiesburg,MS,3:58:38.3,CSpire Fiber Cycling
9,167772,Eddie,Corcoran,New Orleans,LA,3:58:42.3,Peake Cycling
10,475181,Steven,Wolfe,Winnfield,LA,3:58:43.0,Acadiana Bicycle Company Racing
11,477948,Troy,Alexander,Youngsville,LA,3:59:14.7,Acadiana Bicycle Company Racing
12,347118,Bronson,Breaux,Saint Martinville ,LA,3:59:20.0,Acadiana Bicycle Company Racing
13,77897,Kevin,Landry,Youngsville,LA,4:00:30.1,Acadiana Bicycle Company Racing
14,55950,Peter,Stephens,Gulfport,MS,4:01:08.8,GEAUX Race
15,185198,Mike,Corcoran,Westwego,LA,4:01:15.1,Peake Cycling
16,215913,VJ,Liberto,Metairie,LA,4:01:25.0,Peake Cycling
17,46889,H Michael,Lew,Loranger,LA,4:02:58.6,MidSouth Velo
18,11747,Brett,Fitzgerald,Ponchatoula,LA,4:03:03.3,MidSouth Velo
