Whiskey Island CX presented by Eddys Bike Shop & North Coast Endurance in Cleveland OH Results

11/05/2017 Cyclo-cross Men Cat 4/5
Place,License #,First,Last,City,State,Time,Team
1,360734,Adam,MCNEILL,Northfield,OH,0:30:21,Summit Freewheelers
2,404290,Jonathan,AUGUSTINE,Cleveland Heights,OH,0:30:37,bike ohio
3,517458,Judson,LINDER,Salem,OH,0:30:48,
4,519129,Tom,WEAVER,Macedonia,OH,0:30:53,
5,97948,Jason,HALL,Cuyahoga Falls,OH,0:31:10,Summit Freewheelers
6,522339,Gregory,HUZYAK,Salem,OH,0:31:12,
7,487849,Rick,THOMPSON,Akron,OH,0:31:32,Summit Freewheelers
8,473548,James,SARGIOVANNI,Mantua,OH,0:31:34,bike ohio
9,494135,Carl,JAEGERS,Lakewood,OH,0:31:49,
10,522040,Andy,LEVETO,Cleveland,OH,0:31:49,bike ohio
11,424240,Michael,Banks,Lakewood,OH,0:31:57,
12,518743,Neil,Perko,Willoughby,OH,0:32:11,
13,543294,Bradford,SMITH,Lakewood,OH,0:32:16,
14,259885,Duncan,REID,Palos Verdes Estates,CA,0:32:25,Bike Palace
15,465053,John,SCHMITMEYER,Cleveland,OH,0:32:43,
16,486812,Alex,INTIHAR,Independence,OH,0:32:55,
17,538354,Jesse,HAWK,Westlake,OH,0:33:18,
18,152554,Robert,HODGE,Youngstown,OH,0:33:27,
19,541364,Matthew,WOODYARD,Akron,OH,0:33:41,Summit Freewheelers
20,487656,Michael,Roach,Bay Village,OH,0:33:46,
21,539822,Raymond,Krankowski,Lakewood,OH,0:34:45,
22,521811,Matt,O'Donnell,Chardon,OH,0:34:59,
23,518380,Shawn,GRANDON,Richfield,OH,0:35:00,
24,462376,Douglas,HAYES,Cleveland,OH,0:35:07,Forest City Racing
25,518807,Craig,Kovach,Kirtland,OH,0:35:37,Joy Machines Racing
26,541313,Scott,LIECHTY,Cleveland,OH,0:35:45,Joy Machines Racing
27,486844,Thomas,DEPIETRO,Lakewood,OH,0:35:57,bike ohio
28,424519,John,DAY,Grandview Heights,OH,0:36:29,
29,542039,Sev,KURTOV,Stow,OH,0:39:16,
30,515652,Patrick,BISCHOF,Strongsville,OH,0:39:53,
31,485052,Andrew,HENDERSON,Avon,OH,0:27:39,
32,383809,Ken,HAGAN,Avon,OH,0:27:51,Snakebite Racing
33,414368,Michael,Schmidt,Willowick,OH,0:27:58,372.25
34,518906,Alexander,Rigda,Lakewood,OH,0:28:21,Joy Machines Racing
35,0,Chris,RADAK,,,0:28:29,
36,163779,Ryan,GARRITY,Burlington,CT,0:28:31,
37,329380,Mike,Cousino,North Ridgeville,OH,0:28:50,Snake Bite Racing
38,490610,Benjamin,Switala,North Olmsted,OH,0:30:14,
39,544876,Terry,KILBANE,Lakewood,OH,0:30:40,
40,0,Patrick,RYAN,,,0:31:36,
41,544882,Charlie,CVITKOVICH,Olmsted Twp,OH,0:41:25,
DNS,518374,Simon,FITZPATRICK,Bay Village,OH,,
DNS,484279,Zachary,NILES,Maple Heights,OH,,Summit Freewheelers
DNS,267278,Carlton,KANNER,Cleveland Heights,OH,,bike ohio

11/05/2017 Cyclo-cross Men Cat 3/4
Place,License #,First,Last,City,State,Time,Team
1,495126,Jeffrey,DAVIS,Middlefield,OH,0:45:18,Bike Ohio
2,360734,Adam,MCNEILL,Northfield,OH,0:45:54,Summit Freewheelers
3,413496,Craig,BURLAND,Solon,OH,0:46:12,bike ohio
