Race of the West in Minneola FL Results

02/04/2017 Criterium Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,296605,Michael,Hernandez,Clermont,FL,1:07:43,UCI CT: Aevolo Cycling Inc.
2,60148,Ken,Vida,Lithia,FL,1:07:44,FloridaVelo
3,193019,Luis,Zayas,Miami,FL,1:07:44,
4,237816,Justin,Pfaff,Alachua,FL,1:07:44,Stradalli/Wizard Racing Development Team P/B Wizard Coaching Services
5,472752,Luis,Rodriguez,Windermere,FL,1:07:45,Compass Research Cycling Team
6,219566,Darren,Dowling,Sarasota,FL,1:07:45,Sarasota Cycling Club p/b SeaSucker
7,311519,Steven,Perezluha,Longwood,FL,1:07:45,Support Clean Sport / SeaSucker / Guttenplan Coaching
8,228635,Alexander,Gil,Hialeah,FL,1:07:45,Support Clean Sport / SeaSucker / Guttenplan Coaching
9,316004,Sandor,Delgado,Hialeah,FL,1:07:46,D Professional
10,416942,Ryan,Post,Estero,FL,1:07:46,FloridaVelo
11,374748,Travis,Dorman,Panama City,FL,1:07:46,Palmer/CSpire Fiber Cycling
12,514536,Scott,Michaels,St Cloud,FL,1:07:46,
13,288143,James,Harter,Winter Garden,FL,1:07:47,Compass Research Cycling Team
14,393374,Hunter,Smith,Orlando,FL,1:07:48,Support Clean Sport / SeaSucker / Guttenplan Coaching
15,292511,Bruno,Moreira,Riverview,FL,1:07:54,Pioneer Mortgage pb Yourkey.com
16,353494,Paulo,Silva,Winter Garden,FL,1:07:57,Compass Research Cycling Team
17,234733,Brendan,McCormack,Leicester,MA,1:07:58,Foundation
18,423085,Jackson,Griffin,Tallahassee,FL,1:08:00,RedEye Velo
19,387697,Owen,Shott,Jacksonville Beach,FL,1:08:08,VeloBrew Cycling Club
20,396578,Mike,Ferreiro,Miami,FL,1:08:09,Silcarbon Racing Team
21,47935,Vance,James,Lakeland,FL,1:08:16,FloridaVelo
22,154900,Scott,Cugno,Tampa,FL,1:08:18,Pioneer Mortgage pb Yourkey.com
23,335312,Marc,Boults,Lithia,FL,1:08:58,Pioneer Mortgage pb Yourkey.com
24,21461,Bryan,Lofton,Orlando,FL,1:09:26,Compass Research Cycling Team
DNF,305523,Fredd,Matute,Oviedo,FL,0:00:04,Performance Team by Rossetti
DNF,307695,Shawn,Faynik,Orlando,FL,0:16:22,Advanced Cycles pb/Topview Sports
DNF,108976,Curtis,Long,Atlantic Beach,FL,0:28:38,FloridaVelo
DNF,57055,Kirk,Corsello,Lilburn,GA,0:29:23,Next Moto Champion Cycling p/b Roswell Bicycles
DNF,196540,Pablo,Santa Cruz,Safety Harbor,FL,0:37:29,FloridaVelo
DNF,289531,Didier,Fresne,Lutz,FL,0:41:36,West Coast Cycling

02/04/2017 Criterium Men Handcycle WH1
Place,License #,First,Last,City,State,Time,Team
1,0,Jennette,Jansen,,,0:41:02,

02/04/2017 Criterium Men Handcycle H5
Place,License #,First,Last,City,State,Time,Team
1,0,Tim,de Vries,,,0:40:35,
2,376186,Alfredo,Delossantos,Hopewell Junction,NY,0:40:35,
3,486667,Jason,Cherry,Pinellas Park,FL,0:42:17,
4,486666,Bob,McCown,Saint Petersburg,FL,0:43:11,
5,396871,Anthony,Robinson,Akron,OH,0:44:25,Paralyzed Veterans of America Racing

02/04/2017 Criterium Men Handcycle H4
Place,License #,First,Last,City,State,Time,Team
1,280601,Gerard,AhFook,Tucson,AZ,0:40:56,Paralyzed Veterans of America Racing
2,199594,Seth,Arseneau,Albuquerque,NM,0:41:01,Paralyzed Veterans of America Racing
3,458697,Edwin,Quiros Ortiz,Auburndale,FL,0:41:21,Paralyzed Veterans of America Racing
4,486183,Paul,Schulte,Bradenton,FL,0:42:51,
5,292213,Dennis,Clark,Oliver Springs,TN,0:43:45,Paralyzed Veterans of America Racing
6,0,Chris,Peterson,,,0:40:59,
7,407058,Frank,Matzke,Saint Augustine,FL,0:45:52,Paralyzed Veterans of America Racing

02/04/2017 Criterium Men Handcycle H3
Place,License #,First,Last,City,State,Time,Team
1,0,Ludovic,Narce,,,0:42:57,
2,524951,Daniel,Evans,St Petersburg,FL,0:40:56,Paralyzed Veterans of America Racing
3,501086,Radames,Rodriguez,San Antonio ,TX,0:40:58,
4,149499,Kenneth,Bestine,Clymer,NY,0:41:02,
5,438041,Wesley,Bergin,Palm Harbor,FL,0:42:51,Paralyzed Veterans of America Racing
6,524177,Ricardo,Rincon Gallardo Diep,Tucson,AZ,0:42:53,
7,461032,Sean,Gibbs,Winter Garden,FL,0:42:18,Paralyzed Veterans of America Racing
8,133580,Craig,Cornwall,Boise,ID,0:44:34,Paralyzed Veterans of America Racing
9,468005,Ryan,Kelling,East Wenatchee,WA,0:00:00,Cascade/Major Taylor Project Racing

02/04/2017 Criterium Men Handcycle H2
Place,License #,First,Last,City,State,Time,Team
1,395554,William,Groulx,Portland,OR,0:34:12,Paralyzed Veterans of America Racing
2,164294,Carlos,Guzman,San Antonio,TX,0:42:22,
3,380806,Brian,Muscarella,Charlotte,NC,0:42:36,
4,380861,Gregory,Taylor,Charlotte,NC,0:41:36,
5,396195,Stephen,Bush,Tampa,FL,0:46:38,
6,319626,AARON,ROUX,Tucson,AZ,0:42:17,Paralyzed Veterans of America Racing
7,470059,gerald,cuzick,Ione,CA,0:46:40,Paralyzed Veterans of America Racing

02/04/2017 Criterium Men Handcycle 55+
Place,License #,First,Last,City,State,Time,Team
1,0,C. David,Swaim,,,0:40:33,
2,503976,Ken,Higgins,Dacula,GA,0:44:48,Paralyzed Veterans of America Racing
3,440349,Solomon,Revils,Chesapeake,VA,0:44:35,Paralyzed Veterans of America Racing

02/04/2017 Criterium Men Cat 4/5 Master 40+
Place,License #,First,Last,City,State,Time,Team
1,423485,Ivan,Olarte,Punta Gorda,FL,0:41:16,Sarasota Cycling Club p/b SeaSucker
2,521309,Chad,Goble,Sarasota,FL,0:41:17,Sarasota Cycling Club p/b SeaSucker
3,480174,Jeff,mishtawy,Daytona Beach,FL,0:41:17,JC's Bike Shop's Blue Hammers
4,439073,Kurt,Jambretz,Palm Beach,FL,0:41:18,Cyberdyne Systems
5,432597,Hector,Paez,Orlando,FL,0:43:04,Ocampo Racing Team
6,345392,Simon,Weatherhead,Port Charlotte,FL,0:43:04,Sarasota Cycling Club p/b SeaSucker
7,455057,Edwin,Buitrago,Homestead,FL,0:43:10,
8,423812,Octavio,Ocampo,Orlando,FL,0:43:10,Ocampo Racing Team
9,504887,Warren,Edwards,Windermere,FL,0:43:11,
10,401977,Dwight,Sergeant,Kissimmee,FL,0:43:12,Ocampo Racing Team
11,459651,Jiklis,Perez,Orlando,FL,0:43:12,Atlantic Shores Velo
12,435047,geovany,barreiro,Weirsdale,FL,0:43:22,
13,172028,Jonathan,Borowski,Ocala,FL,0:43:17,St Pete Bicycles/Brick City Bicycles
14,384672,Ricardo,Almonte,Pompano Beach,FL,0:05:39,Support Clean Sport / SeaSucker / Guttenplan Coaching

02/04/2017 Criterium Men Cat 4/5 Master 50+
Place,License #,First,Last,City,State,Time,Team
1,305247,Scott,Lameier,Valrico,FL,0:43:11,West Coast Cycling
2,65608,Omar,Sassin,Tampa,FL,0:43:12,West Coast Cycling
3,29871,Michael,Rigby,Apopka,FL,0:44:37,Advanced Cycles pb/Topview Sports

02/04/2017 Criterium Men Cat 1/2/3 Master 40+
Place,License #,First,Last,City,State,Time,Team
1,57055,Kirk,Corsello,Lilburn,GA,0:57:07,Next Moto Champion Cycling p/b Roswell Bicycles
2,177274,Pedro,Medina,Orlando,FL,0:57:07,Advanced Cycles pb/Topview Sports
3,292712,Terence,Auter,Satellite Beach,FL,0:57:07,Infinity Bike Shop
4,153443,Allison,Anjos,Boca Raton,FL,0:57:07,
5,108976,Curtis,Long,Atlantic Beach,FL,0:57:08,FloridaVelo
6,285509,Francisco,Hernandez,Orlando,FL,0:57:09,Compass Research Cycling Team
7,52228,Jared,Zimlin,Palm Harbor,FL,0:57:10,GearLink Racing INC.
8,175537,Cliff,Kugler,Simpsonville ,SC,0:57:11,Cycle Haus Racing
9,261127,Osvaldo,Delgado,Port Saint Lucie,FL,0:57:11,
10,28734,Anthony,Prioli,Clearwater,FL,0:57:11,GearLink Racing INC.
11,31413,Ryan,Saylor,Gainesville,FL,0:57:12,GearLink Racing INC.
12,196540,Pablo,Santa Cruz,Safety Harbor,FL,0:57:12,FloridaVelo
13,364771,Vasilios,Palekis,Odessa,FL,0:57:12,FloridaVelo
14,376307,Yampier,Herrera,Orlando,FL,0:57:12,Compass Research Cycling Team
15,281175,Jose,Hernandez,Orlando,FL,0:57:14,Advanced Cycles pb/Topview Sports
16,198637,Ethan,Ensley,Orlando,FL,0:57:14,Compass Research Cycling Team
17,59556,Rainiel,Sanchez,Winter Park,FL,0:57:14,Advanced Cycles pb/Topview Sports
18,125654,Rob,Murray,Oviedo,FL,0:57:15,Advanced Cycles pb/Topview Sports
19,307870,Andres,Munera,Tampa,FL,0:57:19,GearLink Racing INC.
20,366771,Mick,Magin,Tampa,FL,0:57:23,FloridaVelo
