Alabama Cycling Classic presents Sunny King Criterium in Anniston AL Results

04/08/2017 Criterium Men Pro/Cat 1 Prt 2
Place,License #,First,Last,City,State,Time,Team
1,153638,John,MURPHY,Horse Shoe,NC,1:29:13,Holowesko | Citadel p/b Hincapie Sportswear*
2,334672,Carlos,ALZATE ESCOBAR,Boise,ID,1:29:13,UnitedHealthcare Pro Cycling*
3,286482,Karl,MENZIES,Ada,MI,1:29:13,Cylance Cycling*
4,282640,Brendan,RHIM,Greenville,SC,1:29:13,Holowesko | Citadel p/b Hincapie Sportswear*
5,154883,Jesse,ANTHONY,Newbury Park,CA,1:29:14,Rally Cycling*
6,437845,Bryan,GOMEZ,New York,NY,1:29:14,Gateway Harley-Davidson Trek U25 Development Team*
7,472870,Julio,PADILLA,,,1:29:14,Arapahoe Resources / Garneau*
8,296605,Michael,HERNANDEZ,Clermont,FL,1:29:15,Aevolo Cycling*
9,132539,Brad,HUFF,Springfield,MO,1:29:15,Rally Cycling*
10,268330,Travis,MCCABE,Tucson,AZ,1:29:15,UnitedHealthcare Pro Cycling*
11,222180,Tyler,MAGNER,Griffin,GA,1:29:15,Holowesko | Citadel p/b Hincapie Sportswear*
12,334670,Andres,DIAZ CORRALES,Boise,ID,1:29:19,Cylance Cycling*
13,272809,Ricky,RANDALL,Highland Village,TX,1:29:19,Arapahoe Resources  Garneau
14,445034,Orlando,GARIBAY,,,1:29:20,Cylance Cycling*
15,221975,Oscar,CLARK,Athens,GA,1:29:22,Holowesko | Citadel p/b Hincapie Sportswear*
16,290219,Miguel,BRYON,Miami,FL,1:29:22,Holowesko | Citadel p/b Hincapie Sportswear*
17,218355,Hunter,SNIPE GROVE,Pomona,CA,1:29:22,Cylance Cycling*
18,178970,Mat,STEPHENS,Dallas,TX,1:29:24,Arapahoe Resources  Garneau
19,424384,Dennis,RAMIREZ,Barnhart,MO,1:29:24,Gateway Harley-Davidson Trek U2
20,342402,Kevin,GIRKINS,San Marcos,TX,1:29:24,ELBOWZ Racing pb Synergy.O
21,286608,Eamon,FRANCK,Pacific Grove,CA,1:29:25,Crit Life
22,200977,John,PURVIS,Parthenon,AR,1:29:25,Oklahoma Bicycle Project
23,222542,Emerson,ORONTE,Louisville,CO,1:29:27,UCI CT: Rally Cycling
24,192584,Shane,KLINE,Bally,PA,1:29:30,UCI CT: Rally Cycling
25,309409,Aldo Ino,ILESIC,Charlotte,NC,1:29:39,Crit Life
26,431242,Pierrick,NAUD,,,1:29:53,UCI CT: Rally Cycling
27,220775,Thomas,SOLADAY,Minnetonka,MN,1:30:01,UCI CT: Rally Cycling
28,257611,Hogan,SILLS,Terre Haute,IN,1:30:32,Bissell-ABG-Giant
29,311588,Ansel,DICKEY,Woodstock,VT,1:32:10,UCI CT: CCB Velotooler
30,510495,Jose Alfredo,RODRIGUEZ VICTORIA,,,1:32:11,UCI CT: Elevate-KHS Pro Cycling
31,513087,Florenz,KNAUER,Pompano,FL,1:32:11,Stradalli Cycle Safetti
32,401755,Brice,BROOKSHIRE,Elkhart,IN,1:32:11,Texas Roadhouse Cycling Team
33,399388,George,SIMPSON,Fort Collins,CO,1:32:11,Gateway Harley-Davidson Trek U2
34,470625,Trevor,O'DONNELL,,,1:32:11,Toronto Hustle
35,240005,Kyle,PERRY,Muncie,IN,1:32:11,Texas Roadhouse Cycling Team
36,193086,Benjamin,RENKEMA,Greenville,SC,1:32:11,SC Competitive Cyclist
37,504799,Peter,FOERSTER,Atlanta,GA,1:32:11,Stradalli Cycle Safetti
38,311386,Maxwell,ACKERMANN,Madison,WI,1:32:11,Gateway Harley-Davidson Trek U2
39,299155,Ryan,O'BOYLE,Shorewood,IL,1:32:11,
40,318688,Thomas,REVARD,Carmel,IN,1:32:13,Bissell-ABG-Giant
41,355124,Andrei,KRASILNIKAU,Boulder,CO,1:32:13,Holowesko | Citadel p/b Hincapie Sportswear*
42,177637,Andrew,REARDON,Franklin,TN,1:32:13,
43,356904,Anton,VARABEI,,,1:32:13,Toronto Hustle
44,188572,Andrew,DAHLHEIM,Greenville,SC,1:32:13,Arapahoe Resources  Garneau
